State,Agency Name,Latitude,Longitude,ORI,City,Population,Poverty,Poverty Rate
MS,Columbus Police Department,33.471424,-88.439723,MS0440100,Columbus,23858.0,6009.0,25.19
MS,Pascagoula Police Department,30.458491,-88.619991,MS0300300,Pascagoula,22001.0,5189.0,23.59
MS,Vicksburg Police Department,32.357005,-90.851791,MS0750100,Vicksburg,21748.0,5904.0,27.15
MS,Gautier Police Department,30.393581,-88.663605,MS0300600,Gautier,18932.0,3359.0,17.74
MS,Ocean Springs Police Department,30.458491,-88.619991,MS0300200,Ocean Springs,18275.0,1320.0,7.22
MS,Laurel Police Department,31.687548,-89.1341,MS0340200,Laurel,17375.0,5766.0,33.19
MS,Hernando Police Department,34.82351,-89.99768,MS0170300,Hernando,16730.0,1212.0,7.24
MS,Long Beach Police Department,30.416536,-89.083376,MS0240300,Long Beach,16654.0,1548.0,9.3
MT,Billings Police Department,45.936987,-108.276656,MT0560100,Billings,115689.0,12517.0,10.82
MT,Great Falls Police Department,47.316443,-111.350571,MT0070100,Great Falls,60381.0,8546.0,14.15
MT,Bozeman Police Department,45.535559,-111.173443,MT0160100,Bozeman,51574.0,7071.0,13.71
MT,Kalispell Police Department,48.314696,-114.054319,MT0150300,Kalispell,24260.0,2513.0,10.36
MT,Belgrade Police Department,45.77697,-111.17548,MT0160200,Belgrade,10555.0,1265.0,11.98
MT,Havre Police Department,48.550076,-109.67535,MT0210100,Havre,9417.0,1176.0,12.49
MT,Deer Lodge Police Department,46.399918,-112.735176,MT0390100,Deer Lodge,9380.0,2020.0,21.54
MT,Miles City Police Department,46.40739,-105.83021,MT0090100,Miles City,8441.0,1156.0,13.7
MT,Livingston Police Department,45.421905,-110.532798,MT0340100,Livingston,8110.0,1132.0,13.96
MT,Whitefish Police Department,48.314696,-114.054319,MT0150200,Whitefish,7783.0,372.0,4.78
MT,Laurel Police Department,45.66986,-108.77348,MT0560200,Laurel,7164.0,673.0,9.39
MT,Sidney Police Department,47.785513,-104.563387,MT0420100,Sidney,6240.0,467.0,7.48
MT,Lewistown Police Department,47.064312,-109.42455,MT0140100,Lewistown,5967.0,1090.0,18.27
MT,Columbia Falls Police Department,48.373276,-114.18298,MT0150100,Columbia Falls,5304.0,582.0,10.97
MT,Polson Police Department,47.695354,-114.16184,MT0240100,Polson,5161.0,691.0,13.39
MT,Hamilton Police Department,46.245712,-114.15697,MT0410100,Hamilton,4632.0,780.0,16.84
MT,Dillon Police Department,45.21792,-112.63559,MT0010100,Dillon,3930.0,839.0,21.35
MT,Glasgow Police Department,48.34998,-106.670514,MT0530100,Glasgow,3192.0,247.0,7.74
MT,Cut Bank Police Department,48.635544,-112.330734,MT0180200,Cut Bank,3049.0,656.0,21.52
MT,Conrad Police Department,48.16878,-111.94701,MT0370100,Conrad,2758.0,460.0,16.68
MT,Libby Police Department,48.542232,-115.404343,MT0270100,Libby,2745.0,607.0,22.11
MT,Wolf Point Police Department,48.089935,-105.64279,MT0430200,Wolf Point,2638.0,765.0,29.0
MT,Missoula Police Department,46.873913,-113.99474,MT0320100,Missoula,2162.0,224.0,10.36
